2024-11-24 01:11:17,874 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:17,888 | 192.168.31.133 | CONNECT | pagead2.googlesyndication.com:443 | 200 | 0
2024-11-24 01:11:21,390 | 192.168.31.133 | CONNECT | googleads.g.doubleclick.net:443 | 200 | 0
2024-11-24 01:11:21,491 | 192.168.31.133 | CONNECT | rr1---sn-q4flrnl7.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:24,613 | 192.168.31.133 | CONNECT | rr1---sn-q4flrnl7.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:27,625 | 192.168.31.133 | CONNECT | rr2---sn-h5576nsz.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:27,627 | 192.168.31.133 | CONNECT | rr3---sn-q4fzen7y.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:27,627 | 192.168.31.133 | CONNECT | rr3---sn-q4fzen7y.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:28,706 | 192.168.31.133 | CONNECT | rr4---sn-h557snzr.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:29,639 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:11:29,639 | 192.168.31.133 | CONNECT | rr1---sn-q4flrnl7.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:30,648 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5l.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:30,986 | 192.168.31.133 | CONNECT | rr1---sn-q4flrnl7.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:33,924 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:11:33,924 | 192.168.31.133 | CONNECT | rr3---sn-q4fzen7y.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:33,933 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:11:33,934 | 192.168.31.133 | CONNECT | rr3---sn-q4fzen7y.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:36,899 | 192.168.31.133 | CONNECT | rr1---sn-q4flrnl7.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:37,912 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:11:37,912 | 192.168.31.133 | CONNECT | rr1---sn-q4flrnl7.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:40,828 | 192.168.31.133 | CONNECT | rr3---sn-q4fzen7y.googlevideo.com:443 | 200 | 0
2024-11-24 01:11:41,717 | 192.168.31.133 | CONNECT | rr3---sn-q4fzen7y.googlevideo.com:443 | 200 | 0
2024-11-24 01:12:20,320 | 192.168.31.133 | CONNECT | googleads.g.doubleclick.net:443 | 200 | 0
2024-11-24 01:12:30,491 | 192.168.31.133 | CONNECT | rr2---sn-npbo0hpo-8b5e.googlevideo.com:443 | 200 | 0
2024-11-24 01:12:33,274 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5e.googlevideo.com:443 | 200 | 0
2024-11-24 01:12:33,870 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5e.googlevideo.com:443 | 200 | 0
2024-11-24 01:12:33,916 | 192.168.31.133 | GET | http://detectportal.firefox.com/canonical.html | 200 | 90
2024-11-24 01:12:33,971 | 192.168.31.133 | GET | http://detectportal.firefox.com/success.txt?ipv4 | 200 | 8
2024-11-24 01:12:33,972 | 192.168.31.133 | GET | http://detectportal.firefox.com/success.txt?ipv6 | 200 | 8
2024-11-24 01:12:34,090 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5e.googlevideo.com:443 | 200 | 0
2024-11-24 01:12:34,154 | 192.168.31.133 | CONNECT | rr1---sn-npbo0hpo-8b5e.googlevideo.com:443 | 200 | 0
2024-11-24 01:12:34,223 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:12:34,352 | 192.168.31.133 | POST | http://o.pki.goog/s/wr3/AZY | 408 | 1557
2024-11-24 01:12:34,354 | 192.168.31.133 | POST | http://o.pki.goog/s/wr3/AZY | 408 | 1557
2024-11-24 01:12:34,356 | 192.168.31.133 | POST | http://o.pki.goog/s/wr3/AZY | 408 | 1557
2024-11-24 01:12:34,357 | 192.168.31.133 | POST | http://o.pki.goog/s/wr3/AZY | 408 | 1557
2024-11-24 01:12:34,579 | 192.168.31.133 | CONNECT | googleads.g.doubleclick.net:443 | 200 | 0
2024-11-24 01:12:34,729 | 192.168.31.133 | GET | http://detectportal.firefox.com/canonical.html | 200 | 90
2024-11-24 01:12:34,792 | 192.168.31.133 | GET | http://detectportal.firefox.com/success.txt?ipv6 | 200 | 8
2024-11-24 01:12:34,795 | 192.168.31.133 | GET | http://detectportal.firefox.com/success.txt?ipv4 | 200 | 8
2024-11-24 01:12:35,528 | 192.168.31.133 | CONNECT | encrypted-tbn3.gstatic.com:443 | 200 | 0
2024-11-24 01:12:35,528 | 192.168.31.133 | CONNECT | encrypted-tbn1.gstatic.com:443 | 200 | 0
2024-11-24 01:12:35,529 | 192.168.31.133 | CONNECT | encrypted-tbn2.gstatic.com:443 | 200 | 0
2024-11-24 01:12:37,072 | 192.168.31.133 | POST | http://o.pki.goog/wr2 | 408 | 1557
2024-11-24 01:12:37,073 | 192.168.31.133 | CONNECT | encrypted-tbn3.gstatic.com:443 | 200 | 0
2024-11-24 01:12:39,492 | 192.168.31.133 | CONNECT | googleads.g.doubleclick.net:443 | 200 | 0
2024-11-24 01:12:57,883 | 192.168.31.133 | CONNECT | googleads.g.doubleclick.net:443 | 200 | 0
2024-11-24 01:12:58,836 | 192.168.31.133 | CONNECT | suggestqueries-clients6.youtube.com:443 | 200 | 0
2024-11-24 01:12:58,942 | 192.168.31.133 | CONNECT | suggestqueries-clients6.youtube.com:443 | 200 | 0
2024-11-24 01:12:58,957 | 192.168.31.133 | CONNECT | suggestqueries-clients6.youtube.com:443 | 200 | 0
2024-11-24 01:12:58,971 | 192.168.31.133 | CONNECT | suggestqueries-clients6.youtube.com:443 | 200 | 0
2024-11-24 01:12:58,987 | 192.168.31.133 | CONNECT | suggestqueries-clients6.youtube.com:443 | 200 | 0
2024-11-24 01:12:59,005 | 192.168.31.133 | CONNECT | suggestqueries-clients6.youtube.com:443 | 200 | 0
2024-11-24 01:12:59,018 | 192.168.31.133 | CONNECT | suggestqueries-clients6.youtube.com:443 | 200 | 0
2024-11-24 01:12:59,031 | 192.168.31.133 | CONNECT | suggestqueries-clients6.youtube.com:443 | 200 | 0
2024-11-24 01:12:59,047 | 192.168.31.133 | CONNECT | suggestqueries-clients6.youtube.com:443 | 200 | 0
2024-11-24 01:12:59,063 | 192.168.31.133 | CONNECT | suggestqueries-clients6.youtube.com:443 | 200 | 0
2024-11-24 01:12:59,078 | 192.168.31.133 | CONNECT | suggestqueries-clients6.youtube.com:443 | 200 | 0
2024-11-24 01:12:59,092 | 192.168.31.133 | CONNECT | suggestqueries-clients6.youtube.com:443 | 200 | 0
